Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Profits of Extraction of Petroleum and Natural Gas Accumulated The Same Period of Previous Year(100 million yuan),1302.30,990.80,640.60,,3552.40,3874.80,3568.60,3235.80,2906.70,2547.10,2168.00,1795.60,1378.60,1034.90,586.50,,1689.80,1815.00,1699.00,1524.00,1374.30,1161.40,958.40,763.50,578.50,411.40,227.80,,246.50,474.60,468.00,413.90,377.90,318.60,276.10,205.70,265.10,347.20,318.80,,1528.50,1618.80,1506.40,1405.60,1260.50,1141.40,997.70,842.20,641.90,449.30,262.50,,1578.00,1701.20,1516.90,1353.60,1218.40,1019.80,847.70,678.30,523.40,395.40,270.80,,302.00,403.00,331.50,270.40,227.60,192.00,211.30,191.30,177.20,193.60,120.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),4.3,3.8,1.8,,-16.0,-8.5,-8.9,-9.4,-10.8,-11.4,-12.2,-9.9,-6.0,-4.8,8.6,,109.8,113.1,109.7,112.0,111.0,118.8,126.0,135.0,138.0,151.1,156.7,,584.7,284.3,262.7,267.2,265.1,266.7,248.6,273.1,119.4,18.4,-28.7,,-83.2,-70.8,-68.5,-70.2,-70.2,-72.1,-72.6,-75.8,-56.4,-20.1,23.7,,1.8,-0.4,3.4,7.9,7.3,12.9,17.8,24.0,19.7,10.3,-5.7,,438.9,332.8,370.6,400.6,435.4,446.4,309.0,263.9,207.7,115.1,138.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Ferrous Metal Ores Accumulated(100 million yuan),212.50,171.00,128.80,,554.50,487.10,402.20,362.00,326.60,264.40,230.90,184.50,140.80,94.60,72.90,,594.90,548.50,543.90,523.10,479.50,439.30,406.40,336.80,275.60,199.90,126.00,,774.50,768.60,750.20,727.90,656.80,563.40,380.30,295.90,217.00,143.50,95.90,,380.60,332.40,303.30,258.80,210.70,165.40,122.10,101.80,77.60,20.00,4.00,,215.00,227.90,206.10,187.90,168.20,129.20,94.00,81.60,53.90,38.10,28.80,,72.60,109.90,89.80,78.60,69.90,53.20,30.10,40.60,31.70,25.10,20.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),129.40,83.90,64.00,,519.70,474.80,465.20,444.20,428.50,392.10,397.90,317.60,246.00,178.30,124.70,,762.30,757.20,759.70,735.50,664.90,573.30,423.30,339.30,251.60,170.30,109.10,,362.80,358.60,341.20,296.10,245.30,194.40,132.10,98.10,73.70,16.30,2.40,,217.60,229.20,207.20,179.10,160.50,133.10,98.30,84.20,55.30,38.30,29.00,,43.30,84.20,71.20,67.60,59.90,38.90,22.00,24.80,18.90,14.40,12.50,,110.70,119.30,106.50,94.70,85.00,74.70,61.10,74.20,58.80,41.70,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),64.2,103.8,101.3,,6.7,2.6,-13.5,-18.5,-23.8,-32.6,-42.0,-41.9,-42.8,-46.9,-41.5,,-22.0,-27.6,-28.4,-28.9,-27.9,-23.4,-4.0,-0.7,9.5,17.4,15.5,,113.5,114.3,119.9,145.8,167.8,189.8,187.9,201.6,194.4,780.4,3895.8,,74.9,45.0,46.4,44.5,31.3,24.3,24.2,20.9,40.3,-47.8,-86.2,,396.5,170.7,189.5,178.0,180.8,232.1,327.3,229.0,185.2,164.6,130.4,,-34.4,-7.9,-15.7,-17.0,-17.8,-28.8,-50.7,-45.3,-46.1,-39.8,-20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Non-Ferrous Metal Ores Accumulated(100 million yuan),251.30,163.00,96.00,,785.60,732.60,639.60,577.80,512.10,442.60,382.80,312.50,248.30,193.90,130.70,,743.50,692.80,606.30,542.80,480.60,426.90,372.80,297.70,225.00,165.50,96.70,,513.70,485.80,430.10,378.40,334.70,284.60,236.00,194.20,139.40,96.80,64.80,,353.70,330.90,281.30,242.70,198.30,161.30,130.20,101.20,70.00,50.00,25.50,,301.50,285.70,258.10,235.80,209.20,183.50,162.10,127.20,109.20,83.90,44.10,,419.80,376.30,350.80,326.90,314.50,293.30,260.00,214.20,171.70,131.60,76.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Non-Ferrous Metal Ores Accumulated The Same Period of Previous Year(100 million yuan),247.30,191.50,129.40,,726.50,680.70,611.90,550.40,492.30,434.20,384.70,308.50,232.60,170.40,100.30,,541.40,511.10,431.40,376.60,333.10,281.50,234.30,193.10,138.10,94.70,64.90,,355.40,333.80,282.20,241.00,196.40,158.80,128.60,99.90,69.50,49.60,26.30,,308.50,287.40,257.30,229.10,201.70,175.80,150.60,119.50,102.70,75.70,38.30,,423.40,371.20,335.20,308.50,274.30,245.70,214.70,172.70,135.60,98.60,59.60,,418.90,356.60,318.70,290.20,276.30,253.40,217.00,177.40,140.00,102.20,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),1.6,-14.9,-25.8,,8.1,7.6,4.5,5.0,4.0,1.9,-0.5,1.3,6.7,13.8,30.3,,37.3,35.6,40.5,44.1,44.3,51.7,59.1,54.2,62.9,74.8,49.0,,44.5,45.5,52.4,57.0,70.4,79.2,83.5,94.4,100.6,95.2,146.4,,14.7,15.1,9.3,5.9,-1.7,-8.2,-13.5,-15.3,-31.8,-33.9,-33.4,,-28.8,-23.0,-23.0,-23.6,-23.7,-25.3,-24.5,-26.3,-19.5,-14.9,-26.0,,0.2,5.5,10.1,12.6,13.8,15.7,19.8,20.7,22.6,28.8,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Nonmetal Ores Accumulated(100 million yuan),99.20,73.50,53.40,,416.20,371.80,318.90,269.60,236.10,203.40,169.10,146.50,113.10,81.00,50.40,,480.90,408.60,358.50,318.90,286.40,244.60,202.40,160.40,115.10,81.80,49.60,,433.10,374.20,323.30,285.60,248.60,206.10,170.50,138.70,99.30,66.40,41.10,,325.90,289.50,247.80,213.30,189.90,160.10,130.40,104.30,73.10,44.40,23.50,,299.40,275.20,244.00,207.10,185.20,164.60,138.20,104.50,78.10,55.40,35.50,,268.90,238.90,205.70,187.20,174.50,142.70,121.10,98.60,73.00,63.60,44.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Nonmetal Ores Accumulated The Same Period of Previous Year(100 million yuan),104.00,72.20,43.60,,413.70,368.40,324.80,288.60,253.80,213.80,168.80,138.40,102.10,77.80,49.80,,453.00,382.40,330.20,290.10,258.90,211.50,171.70,139.60,98.60,63.20,38.00,,351.20,314.30,269.60,226.80,197.90,166.20,133.30,107.80,75.20,44.00,22.60,,312.80,287.30,251.50,217.10,193.50,166.40,138.10,102.30,75.30,53.60,34.20,,282.30,241.40,203.70,174.80,159.10,136.40,110.00,90.10,67.40,46.80,31.80,,234.00,215.80,190.60,176.80,161.60,145.50,123.90,97.40,75.30,56.30,39.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),-4.6,1.8,22.5,,0.6,0.9,-1.8,-6.6,-7.0,-4.9,0.2,5.9,10.8,4.1,1.2,,6.2,6.9,8.6,9.9,10.6,15.7,17.9,14.9,16.7,29.4,30.5,,23.3,19.1,19.9,25.9,25.6,24.0,27.9,28.7,32.0,50.9,81.9,,4.2,0.8,-1.5,-1.8,-1.9,-3.8,-5.6,2.0,-2.9,-17.2,-31.3,,6.1,14.0,19.8,18.5,16.4,20.7,25.6,16.0,15.9,18.4,11.6,,14.9,10.7,7.9,5.9,8.0,-1.9,-2.3,1.2,-3.1,13.0,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and  Support Activities Accumulated(100 million yuan),2.90,-1.10,-4.50,,24.20,21.70,12.40,5.00,2.60,0.60,2.80,-0.60,0.60,-0.90,-4.60,,6.70,19.30,12.30,7.70,9.30,9.20,11.60,3.40,0.50,-2.50,-7.10,,-41.70,-6.10,1.90,0.90,2.50,3.90,2.70,-2.30,-6.60,-7.20,-15.30,,12.30,-8.40,-7.10,-4.40,-2.80,-3.70,5.50,-2.50,-5.30,-12.80,-16.50,,22.20,26.70,26.00,21.80,19.10,56.60,53.70,45.60,36.30,25.70,1.30,,-31.50,25.40,25.10,20.80,20.70,20.00,13.60,4.30,6.90,-5.70,-12.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and  Support Activities Accumulated The Same Period of Previous Year(100 million yuan),1.30,-0.50,-4.10,,10.60,21.50,14.10,9.40,11.30,10.00,12.50,4.20,1.20,-2.20,-6.60,,-39.40,6.70,3.60,2.30,4.00,4.60,2.90,-2.50,-6.70,-7.20,-14.60,,12.30,-15.90,-8.70,-5.90,-3.90,-4.90,2.00,-5.50,-8.90,-15.40,-18.70,,3.80,16.30,17.70,14.60,12.50,10.70,10.40,4.40,-3.20,-2.90,-15.70,,-41.50,14.80,10.20,9.50,11.30,44.30,30.90,14.20,6.30,-2.70,-10.10,,-68.40,-5.50,-3.50,-2.20,-4.00,-3.40,-4.90,,-4.10,-13.60,-17.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining and  Support Activities Accumulated Growth Rate(%),123.1,120.0,,,128.3,0.9,-12.1,-46.8,-77.0,-94.0,-77.6,-114.3,-50.0,,,,,188.1,241.7,234.8,132.5,100.0,300.0,,,,,,-439.0,,,,,,35.0,,,,,,223.7,-151.5,-140.1,-130.1,-122.4,-134.6,-47.1,-156.8,,,,,,80.4,154.9,129.5,69.0,27.8,73.8,221.1,476.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining of Other Ores Accumulated(100 million yuan),0.40,0.30,0.30,,-1.80,-0.40,-0.30,-0.30,-0.60,0.00,0.00,0.30,0.20,0.00,0.00,,0.60,0.80,0.70,0.60,0.60,0.50,0.40,0.30,0.20,0.20,1.00,,0.40,0.40,0.40,0.30,0.30,0.30,0.30,0.30,0.20,0.10,0.00,,0.90,0.80,0.80,1.10,1.00,0.70,0.20,0.20,0.10,0.00,0.00,,0.80,0.70,0.70,0.70,0.60,0.70,0.50,0.40,0.40,0.30,0.20,,0.80,0.70,0.70,0.90,0.80,0.80,0.90,0.80,0.70,0.40,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining of Other Ores Accumulated The Same Period of Previous Year(100 million yuan),0.10,0.00,0.00,,0.60,0.80,0.70,0.60,0.50,0.50,0.40,0.30,0.20,0.10,0.10,,0.40,0.40,0.40,0.30,0.40,0.30,0.30,0.20,0.20,0.00,0.10,,0.50,0.60,0.60,0.40,0.30,0.30,0.30,0.20,0.10,0.00,0.00,,0.80,0.80,0.70,0.70,0.60,0.60,0.40,0.20,0.20,0.10,0.10,,0.50,0.40,0.40,0.40,0.40,0.60,0.70,0.60,0.50,0.40,0.20,,1.10,1.10,1.00,1.10,1.00,0.90,0.90,0.90,0.70,0.40,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Mining of Other Ores Accumulated Growth Rate(%),300.0,0.0,,,-400.0,-150.0,-142.9,-150.0,-220.0,-100.0,-100.0,0.0,0.0,-100.0,-100.0,,50.0,100.0,75.0,100.0,50.0,66.7,33.3,50.0,0.0,,900.0,,-20.0,-33.3,-33.3,-25.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,,12.5,0.0,14.3,57.1,66.7,16.7,-50.0,0.0,-50.0,-100.0,-100.0,,60.0,75.0,75.0,75.0,50.0,16.7,-28.6,-33.3,-20.0,-25.0,0.0,,-27.3,-36.4,-30.0,-18.2,-20.0,-11.1,0.0,-11.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Manufacturing Accumulated(100 million yuan),14439.80,10172.40,6134.50,,57643.60,50987.10,44147.10,38910.70,32982.80,27694.20,23874.70,18296.80,13723.70,10207.60,5837.80,,64150.20,57714.20,51739.30,46259.60,40777.20,36217.20,31893.10,25579.50,19819.20,14738.10,8759.20,,73612.20,66128.90,59300.40,52986.40,46839.50,41374.70,35677.30,29006.60,21963.10,15366.30,9294.20,,55795.10,48995.20,42560.10,37060.20,31415.50,26258.50,21223.00,15461.90,10269.50,6079.60,3005.70,,51903.90,46283.40,41291.40,37904.20,33045.00,28773.70,24608.30,19519.40,14836.40,10577.90,5682.00,,56964.40,51979.00,46830.90,42082.90,37382.20,33084.40,28800.50,23150.20,17963.80,13037.20,8100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Manufacturing Accumulated The Same Period of Previous Year(100 million yuan),13375.20,9424.20,5223.90,,58808.60,53525.40,48261.00,43288.70,38207.70,33939.90,29835.90,23983.50,18801.50,14453.50,8667.50,,74036.80,66626.70,59731.40,53271.90,47065.50,41456.40,35601.50,28665.30,21606.60,15061.40,9138.60,,55939.00,49161.70,42677.20,37085.60,31605.40,26447.70,21331.60,15664.60,10268.60,5960.80,2909.20,,51849.80,46183.50,40845.60,36673.10,31728.70,27496.00,23531.20,18536.90,14026.00,9942.90,5241.10,,54745.00,48242.40,43440.50,39436.90,34138.90,29771.90,25651.20,20361.20,15572.30,11036.60,6741.30,,52423.30,47288.30,41983.60,37396.80,32925.90,28939.00,25190.90,20339.80,16035.50,12052.80,7199.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Manufacturing Accumulated Growth Rate(%),8.0,7.9,17.4,,-2.0,-4.7,-8.5,-10.1,-13.7,-18.4,-20.0,-23.7,-27.0,-29.4,-32.6,,-13.4,-13.4,-13.4,-13.2,-13.4,-12.6,-10.4,-10.8,-8.3,-2.1,-4.2,,31.6,34.5,39.0,42.9,48.2,56.4,67.3,85.2,113.9,157.8,219.5,,7.6,6.1,4.2,1.1,-1.0,-4.5,-9.8,-16.6,-26.8,-38.9,-42.7,,-5.2,-4.1,-4.9,-3.9,-3.2,-3.4,-4.1,-4.1,-4.7,-4.2,-15.7,,8.7,9.9,11.5,12.5,13.5,14.3,14.3,13.8,12.0,8.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Processing of Food from Agricultural Products Accumulated(100 million yuan),284.50,211.40,147.70,,1391.20,1148.80,945.00,795.60,634.90,512.30,441.50,348.80,299.50,278.40,207.40,,1901.10,1547.20,1316.80,1109.80,1010.10,900.10,796.90,671.80,534.50,348.10,219.80,,1889.90,1545.00,1324.80,1196.60,1081.30,970.20,848.70,729.80,604.30,458.20,312.90,,2001.20,1693.50,1505.00,1327.20,1127.10,964.30,796.70,650.10,516.80,358.70,218.30,,1887.60,1566.70,1342.20,1195.50,1027.20,882.20,769.60,631.70,501.70,378.40,251.40,,2124.40,1812.00,1614.50,1444.90,1302.50,1162.80,1046.10,876.30,711.00,550.60,381.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Profits of Processing of Food from Agricultural Products Accumulated The Same Period of Previous Year(100 million yuan),261.00,207.30,159.30,,1564.00,1303.10,1131.90,937.40,857.80,759.80,661.40,576.40,470.40,341.30,221.30,,1896.60,1554.30,1329.80,1199.30,1096.70,972.80,855.40,732.30,595.10,451.30,311.30,,2081.00,1664.80,1472.80,1288.10,1126.00,963.50,805.30,657.30,518.10,355.50,214.60,,1889.40,1555.00,1313.60,1137.40,957.20,803.10,693.70,546.10,430.70,322.50,213.60,,1817.20,1446.40,1277.10,1155.40,1002.00,874.70,785.00,656.20,527.80,397.20,265.90,,2011.70,1771.10,1583.80,1412.60,1272.20,1146.70,1023.90,865.30,696.60,545.00,381.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
